"","tract","hhs","medhhinc","civpop","prophealth"
"1018","Census Tract 8192; Cook County; Illinois",2100,80052,6690,0.838
"1019","Census Tract 8193; Cook County; Illinois",1047,89276,2700,0.978
"1020","Census Tract 8194; Cook County; Illinois",2356,77553,5643,0.94
"1021","Census Tract 8195; Cook County; Illinois",1493,92337,3367,0.944
"1022","Census Tract 8196; Cook County; Illinois",1391,200114,4015,0.998
"1023","Census Tract 8197; Cook County; Illinois",1794,171719,5743,0.995
"1024","Census Tract 8198.01; Cook County; Illinois",1606,206848,5161,0.989
"1025","Census Tract 8198.02; Cook County; Illinois",928,189667,2463,0.986
"1026","Census Tract 8199; Cook County; Illinois",1047,218906,3257,0.968
"1027","Census Tract 8200; Cook County; Illinois",676,NA,2161,0.955
"1028","Census Tract 8201.01; Cook County; Illinois",3369,131694,7651,0.973
"1029","Census Tract 8201.03; Cook County; Illinois",1730,86434,4152,0.918
"1030","Census Tract 8201.04; Cook County; Illinois",1829,78083,4466,0.931
"1031","Census Tract 8202.02; Cook County; Illinois",1394,73750,3291,0.861
"1032","Census Tract 8202.03; Cook County; Illinois",1306,136694,3696,1
"1033","Census Tract 8202.04; Cook County; Illinois",2210,109479,4332,0.903
"1034","Census Tract 8203; Cook County; Illinois",1751,55845,5771,0.782
"1035","Census Tract 8204; Cook County; Illinois",1849,49598,5251,0.844
"1036","Census Tract 8205.01; Cook County; Illinois",1955,68837,5286,0.846
"1037","Census Tract 8205.02; Cook County; Illinois",2181,56037,5296,0.905
"1038","Census Tract 8206.03; Cook County; Illinois",1845,65922,5255,0.91
"1039","Census Tract 8206.04; Cook County; Illinois",1278,47577,3546,0.872
"1040","Census Tract 8206.05; Cook County; Illinois",1925,56250,5617,0.837
"1041","Census Tract 8206.06; Cook County; Illinois",1722,96304,3975,0.962
"1042","Census Tract 8207; Cook County; Illinois",2392,67067,6987,0.937
"1043","Census Tract 8208; Cook County; Illinois",1027,83495,3431,0.934
"1044","Census Tract 8209.01; Cook County; Illinois",1696,73603,5010,0.875
"1045","Census Tract 8209.02; Cook County; Illinois",1768,103846,6142,0.866
"1046","Census Tract 8210.01; Cook County; Illinois",1649,61853,4872,0.847
"1047","Census Tract 8210.02; Cook County; Illinois",1834,65513,5078,0.894
"1048","Census Tract 8211.01; Cook County; Illinois",1468,81912,4768,0.926
"1049","Census Tract 8211.02; Cook County; Illinois",1538,81139,4589,0.931
"1050","Census Tract 8212; Cook County; Illinois",2355,38880,5323,0.88
"1051","Census Tract 8213; Cook County; Illinois",2301,51806,5852,0.895
"1052","Census Tract 8214.01; Cook County; Illinois",998,51310,2722,0.931
"1053","Census Tract 8214.02; Cook County; Illinois",1232,66522,3375,0.977
"1054","Census Tract 8215; Cook County; Illinois",523,28173,1266,0.911
"1055","Census Tract 8216; Cook County; Illinois",1804,79395,4269,0.963
"1056","Census Tract 8217; Cook County; Illinois",1782,96607,4800,0.947
"1057","Census Tract 8218; Cook County; Illinois",2049,88024,5235,0.945
"1058","Census Tract 8219; Cook County; Illinois",1814,100179,5292,0.961
"1059","Census Tract 8220; Cook County; Illinois",1907,56841,4290,0.922
"1060","Census Tract 8221.01; Cook County; Illinois",1549,78059,4565,0.898
"1061","Census Tract 8221.02; Cook County; Illinois",1966,56963,4595,0.92
"1062","Census Tract 8222; Cook County; Illinois",1301,86299,3805,0.945
"1063","Census Tract 8223.01; Cook County; Illinois",1186,101413,3664,0.94
"1064","Census Tract 8223.02; Cook County; Illinois",1646,77557,4260,0.841
"1065","Census Tract 8224; Cook County; Illinois",1993,56231,6012,0.902
"1066","Census Tract 8225; Cook County; Illinois",1719,89177,4220,0.966
"1067","Census Tract 8226.01; Cook County; Illinois",1609,94943,4545,0.958
"1068","Census Tract 8226.02; Cook County; Illinois",3204,64345,7777,0.904
"1069","Census Tract 8227.01; Cook County; Illinois",2010,69833,4905,0.907
"1070","Census Tract 8227.02; Cook County; Illinois",1441,67865,3364,0.895
"1071","Census Tract 8228.01; Cook County; Illinois",1445,85855,3116,0.985
"1072","Census Tract 8228.02; Cook County; Illinois",1294,104643,3651,0.973
"1073","Census Tract 8229; Cook County; Illinois",827,72540,2084,0.842
"1074","Census Tract 8230.01; Cook County; Illinois",2657,66059,6889,0.858
"1075","Census Tract 8230.02; Cook County; Illinois",1945,75979,5196,0.9
"1076","Census Tract 8231.01; Cook County; Illinois",1706,53039,4317,0.835
"1077","Census Tract 8231.02; Cook County; Illinois",1509,67679,3771,0.868
"1078","Census Tract 8232; Cook County; Illinois",1847,72196,4741,0.944
"1079","Census Tract 8233.02; Cook County; Illinois",2541,51951,5699,0.89
"1080","Census Tract 8233.03; Cook County; Illinois",1654,80500,4255,0.935
"1081","Census Tract 8233.04; Cook County; Illinois",2684,55948,6282,0.94
"1082","Census Tract 8234; Cook County; Illinois",1867,62517,4646,0.866
"1083","Census Tract 8235; Cook County; Illinois",1503,68355,4402,0.881
"1084","Census Tract 8236.02; Cook County; Illinois",2836,81772,5867,0.928
"1085","Census Tract 8236.03; Cook County; Illinois",548,69881,2292,0.809
"1086","Census Tract 8236.04; Cook County; Illinois",1183,113073,3281,0.983
"1087","Census Tract 8236.05; Cook County; Illinois",1417,99299,3946,0.95
"1088","Census Tract 8237.02; Cook County; Illinois",2537,79981,5805,0.94
"1089","Census Tract 8237.03; Cook County; Illinois",3040,67681,9197,0.881
"1090","Census Tract 8237.04; Cook County; Illinois",1417,101282,4058,0.946
"1091","Census Tract 8237.05; Cook County; Illinois",1665,78185,4704,0.838
"1092","Census Tract 8238.01; Cook County; Illinois",2086,116797,5376,0.96
"1093","Census Tract 8238.03; Cook County; Illinois",2566,85109,7046,0.921
"1094","Census Tract 8238.05; Cook County; Illinois",1483,69096,3030,0.937
"1095","Census Tract 8238.06; Cook County; Illinois",1785,60241,4203,0.818
"1096","Census Tract 8239.01; Cook County; Illinois",1644,120227,3916,0.962
"1097","Census Tract 8239.03; Cook County; Illinois",1746,124348,4368,0.97
"1098","Census Tract 8239.04; Cook County; Illinois",1667,107052,3961,0.989
"1099","Census Tract 8240.03; Cook County; Illinois",2062,111438,5862,0.982
"1100","Census Tract 8240.04; Cook County; Illinois",1948,104620,4572,0.992
"1101","Census Tract 8240.05; Cook County; Illinois",1993,141287,5749,0.969
"1102","Census Tract 8240.06; Cook County; Illinois",1964,150469,6013,0.991
"1103","Census Tract 8241.05; Cook County; Illinois",2778,115000,7423,0.958
"1104","Census Tract 8241.06; Cook County; Illinois",2348,104886,6534,0.909
"1105","Census Tract 8241.07; Cook County; Illinois",2750,94178,7430,0.971
"1106","Census Tract 8241.13; Cook County; Illinois",2434,114318,6703,0.939
"1107","Census Tract 8241.14; Cook County; Illinois",1875,143071,5223,0.993
"1108","Census Tract 8241.15; Cook County; Illinois",1556,70179,3881,0.963
"1109","Census Tract 8241.16; Cook County; Illinois",2317,74060,5365,0.943
"1110","Census Tract 8241.19; Cook County; Illinois",2238,103354,5332,0.997
"1111","Census Tract 8241.21; Cook County; Illinois",1258,93380,3105,0.979
"1112","Census Tract 8241.22; Cook County; Illinois",2274,125690,5935,0.989
"1113","Census Tract 8241.23; Cook County; Illinois",2815,97852,7648,0.967
"1114","Census Tract 8241.24; Cook County; Illinois",1157,65250,2872,0.924
"1115","Census Tract 8241.25; Cook County; Illinois",1464,117917,4443,0.974
"1116","Census Tract 8241.26; Cook County; Illinois",1984,168194,5416,0.952
"1117","Census Tract 8241.27; Cook County; Illinois",1444,116087,4001,0.968
"1118","Census Tract 8241.28; Cook County; Illinois",1714,97778,4445,0.964
"1119","Census Tract 8241.29; Cook County; Illinois",1653,95953,3926,0.956
"1120","Census Tract 8243; Cook County; Illinois",1404,59423,4736,0.869
"1121","Census Tract 8244; Cook County; Illinois",686,43750,1559,0.886
"1122","Census Tract 8245.03; Cook County; Illinois",2792,79948,6135,0.946
"1123","Census Tract 8245.05; Cook County; Illinois",2474,73739,6484,0.963
"1124","Census Tract 8245.07; Cook County; Illinois",1706,88889,3650,0.993
"1125","Census Tract 8245.08; Cook County; Illinois",1586,69857,3178,0.939
"1126","Census Tract 8245.09; Cook County; Illinois",1525,116310,5104,0.957
"1127","Census Tract 8246.01; Cook County; Illinois",1593,88598,4207,0.905
"1128","Census Tract 8246.02; Cook County; Illinois",2483,86560,6591,0.95
"1129","Census Tract 8247.01; Cook County; Illinois",1493,51458,3532,0.958
"1130","Census Tract 8247.02; Cook County; Illinois",2339,59918,5443,0.902
"1131","Census Tract 8248; Cook County; Illinois",2092,58312,7103,0.903
"1132","Census Tract 8249; Cook County; Illinois",1077,46458,2952,0.904
"1133","Census Tract 8250; Cook County; Illinois",1889,69591,4392,0.898
"1134","Census Tract 8252; Cook County; Illinois",738,83846,1907,0.915
"1135","Census Tract 8253.02; Cook County; Illinois",2110,101429,5472,0.972
"1136","Census Tract 8253.03; Cook County; Illinois",1608,78814,3995,0.882
"1137","Census Tract 8253.04; Cook County; Illinois",1631,92039,4181,0.933
"1138","Census Tract 8254; Cook County; Illinois",2438,91881,5489,0.97
"1139","Census Tract 8255.01; Cook County; Illinois",1827,63603,5422,0.943
"1140","Census Tract 8255.03; Cook County; Illinois",2549,63104,7556,0.907
"1141","Census Tract 8255.04; Cook County; Illinois",1229,64360,3197,0.933
"1142","Census Tract 8255.05; Cook County; Illinois",1637,69785,5143,0.89
"1143","Census Tract 8256; Cook County; Illinois",1624,52734,5332,0.91
"1144","Census Tract 8257; Cook County; Illinois",1522,53397,3761,0.865
"1145","Census Tract 8258.01; Cook County; Illinois",1518,41100,3448,0.933
"1146","Census Tract 8258.02; Cook County; Illinois",2359,70346,7239,0.943
"1147","Census Tract 8258.03; Cook County; Illinois",2528,63966,5761,0.888
"1148","Census Tract 8259; Cook County; Illinois",1102,60833,3442,0.872
"1149","Census Tract 8260; Cook County; Illinois",1001,60668,2724,0.832
"1150","Census Tract 8261; Cook County; Illinois",2036,50918,4698,0.804
"1151","Census Tract 8262.01; Cook County; Illinois",2209,41614,3636,0.925
"1152","Census Tract 8262.02; Cook County; Illinois",1924,59767,5662,0.939
"1153","Census Tract 8263.01; Cook County; Illinois",1496,65679,4365,0.801
"1154","Census Tract 8263.03; Cook County; Illinois",1252,77151,3646,0.936
"1155","Census Tract 8263.04; Cook County; Illinois",1356,50000,2947,0.942
"1156","Census Tract 8264.01; Cook County; Illinois",1279,52043,3295,0.846
"1157","Census Tract 8264.02; Cook County; Illinois",1853,49803,5024,0.888
"1158","Census Tract 8265; Cook County; Illinois",2110,53235,5599,0.957
"1159","Census Tract 8266; Cook County; Illinois",1561,41411,4872,0.89
"1160","Census Tract 8267; Cook County; Illinois",1719,48014,4383,0.925
"1161","Census Tract 8268; Cook County; Illinois",1579,57702,4942,0.811
"1162","Census Tract 8269.01; Cook County; Illinois",655,30215,1728,0.844
"1163","Census Tract 8269.02; Cook County; Illinois",412,39808,1467,0.808
"1164","Census Tract 8270; Cook County; Illinois",1241,43569,3399,0.883
"1165","Census Tract 8271; Cook County; Illinois",855,34882,1999,0.857
"1166","Census Tract 8272; Cook County; Illinois",1390,55116,3571,0.853
"1167","Census Tract 8273; Cook County; Illinois",833,30547,2363,0.907
"1168","Census Tract 8274; Cook County; Illinois",1155,35030,2570,0.938
"1169","Census Tract 8275; Cook County; Illinois",1420,63619,4389,0.887
"1170","Census Tract 8276; Cook County; Illinois",923,38803,2884,0.958
"1171","Census Tract 8277; Cook County; Illinois",905,47574,2652,0.96
"1172","Census Tract 8278.01; Cook County; Illinois",1686,76717,4680,0.929
"1173","Census Tract 8278.02; Cook County; Illinois",1006,90246,3064,0.937
"1174","Census Tract 8278.04; Cook County; Illinois",1296,65238,3037,0.954
"1175","Census Tract 8278.05; Cook County; Illinois",1013,84250,2645,0.99
"1176","Census Tract 8279.01; Cook County; Illinois",754,103958,1771,0.926
