"","tract","hhs","medhhinc","civpop","prophealth"
"89","Census Tract 618; Cook County; Illinois",735,69250,1204,0.904
"90","Census Tract 619.01; Cook County; Illinois",2593,61563,3517,0.979
"91","Census Tract 619.02; Cook County; Illinois",2916,86805,4938,0.919
"92","Census Tract 620; Cook County; Illinois",1644,110250,2890,0.982
"93","Census Tract 621; Cook County; Illinois",2009,99212,3634,0.942
"94","Census Tract 622; Cook County; Illinois",1274,198333,3152,0.976
"95","Census Tract 623; Cook County; Illinois",609,227750,1609,0.981
"96","Census Tract 624; Cook County; Illinois",762,162500,1799,0.987
"97","Census Tract 625; Cook County; Illinois",681,145903,1420,0.968
"98","Census Tract 626; Cook County; Illinois",934,195357,2371,0.972
"99","Census Tract 627; Cook County; Illinois",1331,151080,3046,0.978
"100","Census Tract 628; Cook County; Illinois",1504,166538,3682,0.974
"101","Census Tract 629; Cook County; Illinois",1901,159088,4138,0.987
"102","Census Tract 630; Cook County; Illinois",1836,104052,3273,0.978
"103","Census Tract 631; Cook County; Illinois",1386,99483,2352,0.94
"104","Census Tract 632; Cook County; Illinois",4413,81020,6310,1
"105","Census Tract 633.01; Cook County; Illinois",2032,66447,2992,0.959
"106","Census Tract 633.02; Cook County; Illinois",2769,94173,4102,0.951
"107","Census Tract 633.03; Cook County; Illinois",866,102500,1192,1
"108","Census Tract 634; Cook County; Illinois",1334,95833,2435,0.899
"109","Census Tract 701.01; Cook County; Illinois",2689,93523,4583,0.984
"110","Census Tract 701.02; Cook County; Illinois",1902,92641,2907,0.966
"111","Census Tract 701.03; Cook County; Illinois",1129,78125,1439,0.978
"112","Census Tract 702; Cook County; Illinois",2107,108083,3883,0.976
"113","Census Tract 703; Cook County; Illinois",1667,191051,3818,0.959
"114","Census Tract 704; Cook County; Illinois",1457,243795,3421,0.993
"115","Census Tract 705; Cook County; Illinois",1266,186757,2947,1
"116","Census Tract 706; Cook County; Illinois",1201,NA,3194,0.98
"117","Census Tract 707; Cook County; Illinois",1692,160000,3741,0.981
"118","Census Tract 710; Cook County; Illinois",996,202115,4525,0.971
"119","Census Tract 711; Cook County; Illinois",1091,206304,3186,0.97
"120","Census Tract 712; Cook County; Illinois",1118,125581,2386,0.977
"121","Census Tract 713; Cook County; Illinois",2152,118878,4129,0.985
"122","Census Tract 714; Cook County; Illinois",2951,118295,4763,0.993
"123","Census Tract 715; Cook County; Illinois",3678,115993,5991,0.965
"124","Census Tract 716; Cook County; Illinois",742,230313,1903,0.997
"125","Census Tract 717; Cook County; Illinois",585,149625,1485,0.978
"126","Census Tract 718; Cook County; Illinois",1083,211964,2726,0.972
"127","Census Tract 801; Cook County; Illinois",4209,114681,6607,0.985
"128","Census Tract 802.01; Cook County; Illinois",2330,112708,3236,0.977
"129","Census Tract 802.02; Cook County; Illinois",2649,103948,3800,0.938
"130","Census Tract 803; Cook County; Illinois",3063,157112,5836,0.971
"131","Census Tract 804; Cook County; Illinois",2110,NA,4888,0.993
"132","Census Tract 810; Cook County; Illinois",5052,79556,7953,0.956
"133","Census Tract 811; Cook County; Illinois",2999,82039,4455,0.964
"134","Census Tract 812.01; Cook County; Illinois",2881,128955,4428,0.976
"135","Census Tract 812.02; Cook County; Illinois",2038,177619,3437,0.982
"136","Census Tract 813; Cook County; Illinois",3783,116424,6014,0.974
"137","Census Tract 814.01; Cook County; Illinois",1452,74432,2171,0.983
"138","Census Tract 814.02; Cook County; Illinois",3462,159026,5942,0.976
"139","Census Tract 814.03; Cook County; Illinois",6371,114052,8987,0.991
"140","Census Tract 815; Cook County; Illinois",3365,151626,4906,0.982
"141","Census Tract 816; Cook County; Illinois",2521,157623,3725,0.986
"142","Census Tract 817; Cook County; Illinois",3535,132903,5217,0.969
"143","Census Tract 818; Cook County; Illinois",7384,164091,12189,0.987
"144","Census Tract 819; Cook County; Illinois",635,195083,1111,0.981
"145","Census Tract 901; Cook County; Illinois",1386,124667,3526,0.977
"146","Census Tract 902; Cook County; Illinois",2619,119421,6505,0.981
"147","Census Tract 903; Cook County; Illinois",510,107639,1371,0.984
"148","Census Tract 1001; Cook County; Illinois",2145,109111,5890,0.981
"149","Census Tract 1002; Cook County; Illinois",2851,107850,7369,0.97
"150","Census Tract 1003; Cook County; Illinois",2659,83271,6200,0.937
"151","Census Tract 1004; Cook County; Illinois",1276,143137,3325,0.989
"152","Census Tract 1005; Cook County; Illinois",2357,109564,5814,0.955
"153","Census Tract 1006; Cook County; Illinois",1870,84000,4914,0.943
"154","Census Tract 1007; Cook County; Illinois",1885,117240,5372,0.956
"155","Census Tract 1101; Cook County; Illinois",2252,96514,5776,0.919
"156","Census Tract 1102; Cook County; Illinois",1302,68824,2821,0.951
"157","Census Tract 1103; Cook County; Illinois",1774,115833,5304,0.954
"158","Census Tract 1104; Cook County; Illinois",1925,81250,4501,0.878
"159","Census Tract 1105.01; Cook County; Illinois",1939,101220,5092,0.942
"160","Census Tract 1105.02; Cook County; Illinois",1549,71440,3533,0.879
"161","Census Tract 1201; Cook County; Illinois",1491,160461,4397,0.934
"162","Census Tract 1202; Cook County; Illinois",1746,149306,4573,0.953
"163","Census Tract 1203; Cook County; Illinois",2542,140988,7038,0.944
"164","Census Tract 1204; Cook County; Illinois",1254,111750,3836,0.906
"165","Census Tract 1301; Cook County; Illinois",1752,58068,4692,0.949
"166","Census Tract 1302; Cook County; Illinois",711,104107,1545,0.951
"167","Census Tract 1303; Cook County; Illinois",1792,66154,5040,0.852
"168","Census Tract 1401; Cook County; Illinois",1195,86795,3520,0.882
"169","Census Tract 1402; Cook County; Illinois",1953,72629,6472,0.847
"170","Census Tract 1403.01; Cook County; Illinois",905,69712,2908,0.692
"171","Census Tract 1403.02; Cook County; Illinois",1323,62478,2981,0.853
"172","Census Tract 1404; Cook County; Illinois",2100,93036,5911,0.946
"173","Census Tract 1405; Cook County; Illinois",1322,73273,3171,0.818
"174","Census Tract 1406.01; Cook County; Illinois",826,87045,2762,0.778
"175","Census Tract 1406.02; Cook County; Illinois",1723,59962,4703,0.757
"176","Census Tract 1407.01; Cook County; Illinois",1087,92212,2990,0.696
"177","Census Tract 1407.02; Cook County; Illinois",2106,73571,5572,0.775
"178","Census Tract 1408; Cook County; Illinois",2538,97722,6212,0.779
"179","Census Tract 1502; Cook County; Illinois",2684,91038,7263,0.88
"180","Census Tract 1503; Cook County; Illinois",3077,86290,7272,0.961
"181","Census Tract 1504.01; Cook County; Illinois",1824,77908,5146,0.888
"182","Census Tract 1504.02; Cook County; Illinois",1348,97986,3945,0.899
